raw_ids	SYMBOL	GENENAME
NM_001032979	DNTT	DNA nucleotidylexotransferase [Source:NCBI gene (formerly Entrezgene);Acc:554183]
NM_001044223		
NM_001291435	OAZ2	ornithine decarboxylase antizyme 2 [Source:NCBI gene (formerly Entrezgene);Acc:100017472]
NM_001032984		
NM_001205264		
NM_001204074		
NM_001032995	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:NCBI gene (formerly Entrezgene);Acc:554245]
NM_001033972	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:NCBI gene (formerly Entrezgene);Acc:554245]
NM_001205091	UBE2V1	ubiquitin conjugating enzyme E2 V1 [Source:NCBI gene (formerly Entrezgene);Acc:100538346]
NM_001032985	POMC	proopiomelanocortin [Source:NCBI gene (formerly Entrezgene);Acc:554192]
NM_001077185		
NM_001285477		ribosomal protein S7 [Source:NCBI gene (formerly Entrezgene);Acc:100028369]
NM_001123356	CES2.1	carboxylesterase 2-like protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:100144614]
NM_001168493	SPMIP8	sperm microtubule inner protein 8 [Source:NCBI gene (formerly Entrezgene);Acc:100025438]
NM_001146331	CD8B	CD8 subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:100272160]
NM_001246223		
NM_001033969	BRCA1	BRCA1 DNA repair associated [Source:NCBI gene (formerly Entrezgene);Acc:554178]
NM_001197206		
NM_001293086	PSMC5	proteasome 26S subunit, ATPase 5 [Source:NCBI gene (formerly Entrezgene);Acc:100026270]
NM_001032993	GH1	growth hormone 1 [Source:NCBI gene (formerly Entrezgene);Acc:554243]
NM_001195408	SCN4A	CD79b molecule [Source:NCBI gene (formerly Entrezgene);Acc:100026330]
NM_001193323	MIC-like	MHC class I-related chain-like [Source:NCBI gene (formerly Entrezgene);Acc:100499215]
NM_001171834	MODO-UM	MHC class I antigen [Source:NCBI gene (formerly Entrezgene);Acc:100026156]
NM_001171835	MODO-UE	MHC class I antigen [Source:NCBI gene (formerly Entrezgene);Acc:100026178]
NM_001171836		
NM_001171837		
NM_001246247	MODO-UK	HLA class I histocompatibility antigen, A-69 alpha chain-like [Source:NCBI gene (formerly Entrezgene);Acc:100026822]
NM_001032990	CGA	glycoprotein hormones, alpha polypeptide [Source:NCBI gene (formerly Entrezgene);Acc:554198]
NM_001032972	TCP1	t-complex 1 [Source:NCBI gene (formerly Entrezgene);Acc:497250]
NM_001032980		
NM_001032989	NRAS	NRAS proto-onco, GTPase [Source:NCBI gene (formerly Entrezgene);Acc:554197]
NM_001032974	TSHB	thyroid stimulating hormone subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:503501]
NM_001136559	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:NCBI gene (formerly Entrezgene);Acc:100017950]
NM_001291436	OAZ3	ornithine decarboxylase antizyme 3 [Source:NCBI gene (formerly Entrezgene);Acc:100617372]
NM_001032970	CA1	carbonic anhydrase 1 [Source:NCBI gene (formerly Entrezgene);Acc:497246]
NM_001032968	TTR	transthyretin [Source:NCBI gene (formerly Entrezgene);Acc:497043]
NM_001032994	PRL	prolactin [Source:NCBI gene (formerly Entrezgene);Acc:100017831]
NM_001291426	AZIN1	antizyme inhibitor 1 [Source:NCBI gene (formerly Entrezgene);Acc:100023835]
NM_001032969	DNMT1	DNA (cytosine-5-)-methyltransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:497245]
NM_001252603	EEF2	eukaryotic translation elongation factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:100022172]
NM_001291427	OAZ1	ornithine decarboxylase antizyme 1 [Source:NCBI gene (formerly Entrezgene);Acc:100014315]
NM_001097609	TFIP11	tuftelin interacting protein 11 [Source:NCBI gene (formerly Entrezgene);Acc:100010097]
NM_001032977	POPC1	DNA photolyase [Source:NCBI gene (formerly Entrezgene);Acc:554181]
NM_001193324		
NM_001032992		
NM_001032971		
NM_001293687	AZIN2	antizyme inhibitor 2 [Source:NCBI gene (formerly Entrezgene);Acc:100026129]
NM_001319646		
NM_001033976	FGF2	fibroblast growth factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:619384]
NM_001032975	LDHA	lactate dehydrogenase A [Source:NCBI gene (formerly Entrezgene);Acc:503513]
NM_001032983	FSHB	follicle stimulating hormone subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:554190]
NM_001034076	CDKN2A	cyclin-dependent kinase inhibitor 2A [Source:NCBI gene (formerly Entrezgene);Acc:554242]
NM_001032973		
NM_001032967	PRM1	protamine 1 [Source:NCBI gene (formerly Entrezgene);Acc:497042]
NM_001032986		
NM_001172361	CPSF6	cleavage and polyadenylation specific factor 6 [Source:NCBI gene (formerly Entrezgene);Acc:100013834]
NM_001032981	KRAS	KRAS proto-onco, GTPase [Source:NCBI gene (formerly Entrezgene);Acc:554186]
NM_001032978	LDHB	lactate dehydrogenase B [Source:NCBI gene (formerly Entrezgene);Acc:554182]
NM_001032982	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:554187]
NM_001246274		
NM_001099290	CD4	CD4 molecule [Source:NCBI gene (formerly Entrezgene);Acc:100016045]
NM_001308377	BID	BH3 interacting domain death agonist [Source:NCBI gene (formerly Entrezgene);Acc:105682750]
NM_001168690		
NM_001168689	CAPZA2	capping actin protein of muscle Z-line subunit alpha 2 [Source:NCBI gene (formerly Entrezgene);Acc:780952]
NM_001168691	WNT2	Wnt family member 2 [Source:NCBI gene (formerly Entrezgene);Acc:100011991]
NM_001145084	OPN1SW	opsin 1, short wave sensitive [Source:NCBI gene (formerly Entrezgene);Acc:100014924]
NM_001163679	HMGB3	high mobility group box 3 [Source:NCBI gene (formerly Entrezgene);Acc:100015196]
